,reaction,compound
8018,R01326,C00275
8019,R01326,C00002
8020,R01326,C00159
8021,R01353,C00008
8022,R01353,C02876
8023,R01353,C00002
8024,R01353,C00163
8025,R01354,C00013
8026,R01354,C05983
8027,R01354,C00002
8028,R01354,C00163
8029,R01395,C00008
8030,R01395,C00169
8031,R01395,C00002
8032,R01395,C01563
8033,R01406,C00020
8034,R01406,C00013
8035,R01406,C20683
8036,R01406,C00002
8037,R01406,C00638
8038,R01406,C00229
8039,R01417,C00008
8040,R01417,C02726
8041,R01417,C00002
8042,R01417,C00179
8043,R01441,C00008
8044,R01441,C04534
8045,R01441,C00002
8046,R01441,C00185
8047,R01468,C00008
8048,R01468,C00346
8049,R01468,C00002
8050,R01468,C00189
8051,R01476,C00008
8052,R01476,C05385
8053,R01476,C00002
8054,R01476,C00191
8055,R01492,C00536
8056,R01492,C00194
8057,R01492,C00002
8058,R01492,C00853
8059,R01495,C00008
8060,R01495,C02960
8061,R01495,C00002
8062,R01495,C00195
8063,R01504,C00013
8064,R01504,C04030
8065,R01504,C00002
8066,R01504,C00196
8067,R01523,C00008
8068,R01523,C01182
8069,R01523,C00002
8070,R01523,C00199
8071,R01526,C00008
8072,R01526,C00199
8073,R01526,C00002
8074,R01526,C00309
8075,R01541,C00008
8076,R01541,C04442
8077,R01541,C00002
8078,R01541,C00204
8079,R01547,C00008
8080,R01547,C00206
8081,R01547,C00002
8082,R01547,C00360
8083,R01558,C00020
8084,R01558,C00013
8085,R01558,C00313
8086,R01558,C00002
8087,R01558,C00209
8088,R01558,C00010
8089,R01573,C00008
8090,R01573,C01112
8091,R01573,C00002
8092,R01573,C00216
8093,R01616,C00020
8094,R01616,C00013
8095,R01616,C00223
8096,R01616,C00002
8097,R01616,C00811
8098,R01616,C00010
8099,R01618,C00059
8100,R01618,C01260
8101,R01618,C00224
8102,R01618,C00002
8103,R01639,C00008
8104,R01639,C00231
8105,R01639,C00002
8106,R01639,C00310
8107,R01665,C00008
8108,R01665,C00705
8109,R01665,C00002
8110,R01665,C00239
8111,R01666,C00008
8112,R01666,C00239
8113,R01666,C00002
8114,R01666,C00881
8115,R01688,C00008
8116,R01688,C02527
8117,R01688,C00002
8118,R01688,C00246
8119,R01724,C00253
8120,R01724,C00119
8121,R01724,C00002
8122,R01724,C00001
8123,R01724,C00080
8124,R01724,C01185
8125,R01724,C00013
8126,R01724,C00008
8127,R01724,C00009
8128,R01737,C00008
8129,R01737,C00345
8130,R01737,C00002
8131,R01737,C00257
8132,R01754,C00008
8133,R01754,C03906
8134,R01754,C00002
8135,R01754,C00259
8136,R01771,C00008
8137,R01771,C01102
8138,R01771,C00002
8139,R01771,C00263
8140,R01843,C00008
8141,R01843,C00447
8142,R01843,C00002
8143,R01843,C05382
8144,R01844,C00008
8145,R01844,C05382
8146,R01844,C00002
8147,R01844,C02076
8148,R01857,C00008
8149,R01857,C00286
8150,R01857,C00002
8151,R01857,C00361
8152,R01859,C00008
8153,R01859,C00009
8154,R01859,C00683
8155,R01859,C00002
8156,R01859,C00100
8157,R01859,C00288
8158,R01888,C00008
8159,R01888,C03281
8160,R01888,C00002
8161,R01888,C01822
8162,R01901,C00008
8163,R01901,C03291
8164,R01901,C00002
8165,R01901,C00312
8166,R01902,C00008
8167,R01902,C06441
8168,R01902,C00002
8169,R01902,C00312
8170,R01909,C00008
8171,R01909,C00627
8172,R01909,C00002
8173,R01909,C00314
8174,R01926,C06124
8175,R01926,C00008
8176,R01926,C00319
8177,R01926,C00002
8178,R01943,C00020
8179,R01943,C00013
8180,R01943,C00323
8181,R01943,C00002
8182,R01943,C01197
8183,R01943,C00010
8184,R01961,C00008
8185,R01961,C00352
8186,R01961,C00002
8187,R01961,C00329
8188,R01967,C00008
8189,R01967,C00362
8190,R01967,C00002
8191,R01967,C00330
8192,R01980,C00008
8193,R01980,C04037
8194,R01980,C00002
8195,R01980,C00333
8196,R01991,C00008
8197,R01991,C00009
8198,R01991,C00884
8199,R01991,C00002
8200,R01991,C00135
8201,R01991,C00334
8202,R02014,C00002
8203,R02014,C00342
8204,R02014,C00131
8205,R02014,C00343
8206,R02014,C00001
8207,R02071,C00008
8208,R02071,C05378
8209,R02071,C00002
8210,R02071,C01094
8211,R02089,C00008
8212,R02089,C00360
8213,R02089,C00002
8214,R02089,C00559
8215,R02090,C00008
8216,R02090,C00361
8217,R02090,C00002
8218,R02090,C00362
8219,R02098,C00008
8220,R02098,C01346
8221,R02098,C00002
8222,R02098,C00365
8223,R02099,C00008
8224,R02099,C00365
8225,R02099,C00002
8226,R02099,C00526
8227,R02134,C00008
8228,R02134,C01081
8229,R02134,C00002
8230,R02134,C00378
8231,R02136,C00008
8232,R02136,C02895
8233,R02136,C00002
8234,R02136,C00379
8235,R02184,C00008
8236,R02184,C00404
8237,R02184,C00002
8238,R02184,C00404
8239,R02221,C00020
8240,R02221,C00013
8241,R02221,C00411
8242,R02221,C00002
8243,R02221,C00482
8244,R02221,C00010
8245,R02225,C00008
8246,R02225,C01138
8247,R02225,C00002
8248,R02225,C00413
8249,R02226,C00013
8250,R02226,C03462
8251,R02226,C00002
8252,R02226,C00413
8253,R02227,C00008
8254,R02227,C03731
8255,R02227,C00002
8256,R02227,C00413
8257,R02238,C00008
8258,R02238,C00009
8259,R02238,C03204
8260,R02238,C00002
8261,R02238,C00058
8262,R02238,C00415
8263,R02240,C00008
8264,R02240,C00416
8265,R02240,C00002
8266,R02240,C00641
8267,R02245,C00008
8268,R02245,C01107
8269,R02245,C00002
8270,R02245,C00418
8271,R02255,C00020
8272,R02255,C00013
8273,R02255,C00540
8274,R02255,C00002
8275,R02255,C00423
8276,R02255,C00010
8277,R02301,C00008
8278,R02301,C00009
8279,R02301,C00445
8280,R02301,C00002
8281,R02301,C03479
8282,R02301,C00080
8283,R02303,C00008
8284,R02303,C03115
8285,R02303,C00002
8286,R02303,C00448
8287,R02324,C00008
8288,R02324,C00455
8289,R02324,C00002
8290,R02324,C03150
8291,R02326,C00008
8292,R02326,C00458
8293,R02326,C00002
8294,R02326,C00705
8295,R02331,C00008
8296,R02331,C00460
8297,R02331,C00002
8298,R02331,C01346
8299,R02402,C00008
8300,R02402,C00009
8301,R02402,C00527
8302,R02402,C00002
8303,R02402,C00489
8304,R02402,C00010
8305,R02404,C00008
8306,R02404,C00009
8307,R02404,C00531
8308,R02404,C00002
8309,R02404,C00490
8310,R02404,C00010
8311,R02412,C00008
8312,R02412,C03175
8313,R02412,C00002
8314,R02412,C00493
8315,R02430,C00008
8316,R02430,C03494
8317,R02430,C00002
8318,R02430,C00503
8319,R02439,C00008
8320,R02439,C01101
8321,R02439,C00002
8322,R02439,C00508
8323,R02451,C06322
8324,R02451,C00139
8325,R02451,C00009
8326,R02451,C00008
8327,R02451,C00512
8328,R02451,C00138
8329,R02451,C00002
8330,R02451,C00001
8331,R02493,C00008
8332,R02493,C00647
8333,R02493,C00002
8334,R02493,C00534
8335,R02539,C00020
8336,R02539,C00013
8337,R02539,C00582
8338,R02539,C00002
8339,R02539,C07086
8340,R02539,C00010
8341,R02584,C00008
8342,R02584,C01167
8343,R02584,C00002
8344,R02584,C00585
8345,R02625,C00008
8346,R02625,C04261
8347,R02625,C00002
8348,R02625,C00615
8349,R02626,C00008
8350,R02626,C04262
8351,R02626,C00002
8352,R02626,C00615
8353,R02649,C00008
8354,R02649,C04133
8355,R02649,C00002
8356,R02649,C00624
8357,R02650,C00008
8358,R02650,C00686
8359,R02650,C00002
8360,R02650,C00625
8361,R02658,C00008
8362,R02658,C01218
8363,R02658,C00002
8364,R02658,C06473
8365,R02705,C00008
8366,R02705,C04257
8367,R02705,C00002
8368,R02705,C00645
8369,R02732,C00008
8370,R02732,C00665
8371,R02732,C00002
8372,R02732,C05345
8373,R02741,C00008
8374,R02741,C00009
8375,R02741,C04544
8376,R02741,C00002
8377,R02741,C00669
8378,R02741,C00099
8379,R02750,C01801
8380,R02750,C00002
8381,R02750,C00673
8382,R02750,C00008
8383,R02757,C00008
8384,R02757,C00681
8385,R02757,C00002
8386,R02757,C01885
8387,R02758,C00008
8388,R02758,C03974
8389,R02758,C00002
8390,R02758,C02112
8391,R02783,C00008
8392,R02783,C00009
8393,R02783,C00692
8394,R02783,C00002
8395,R02783,C01212
8396,R02783,C00217
8397,R02786,C00008
8398,R02786,C00009
8399,R02786,C05892
8400,R02786,C00002
8401,R02786,C00692
8402,R02786,C00047
8403,R02788,C00008
8404,R02788,C00009
8405,R02788,C04877
8406,R02788,C00002
8407,R02788,C00692
8408,R02788,C00680
8409,R02794,C00020
8410,R02794,C00013
8411,R02794,C01794
8412,R02794,C00002
8413,R02794,C00695
8414,R02794,C00010
8415,R02848,C00008
8416,R02848,C02965
8417,R02848,C00002
8418,R02848,C00738
8419,R02865,C00008
8420,R02865,C01096
8421,R02865,C00002
8422,R02865,C00794
8423,R02884,C00008
8424,R02884,C01022
8425,R02884,C00002
8426,R02884,C00759
8427,R02903,C00008
8428,R02903,C02456
8429,R02903,C00002
8430,R02903,C00778
8431,R02927,C00008
8432,R02927,C01097
8433,R02927,C00002
8434,R02927,C00795
8435,R02971,C00008
8436,R02971,C01134
8437,R02971,C00002
8438,R02971,C00831
8439,R02976,C00008
8440,R02976,C01120
8441,R02976,C00002
8442,R02976,C00836
8443,R02980,C00008
8444,R02980,C03016
8445,R02980,C00002
8446,R02980,C00839
8447,R02986,C00020
8448,R02986,C00013
8449,R02986,C00845
8450,R02986,C00002
8451,R02986,C01546
8452,R02986,C00010
8453,R03005,C00013
8454,R03005,C00857
8455,R03005,C00002
8456,R03005,C01185
8457,R03014,C00008
8458,R03014,C01131
8459,R03014,C00002
8460,R03014,C00861
8461,R03038,C00020
8462,R03038,C00013
8463,R03038,C00886
8464,R03038,C00002
8465,R03038,C00041
8466,R03038,C01635
8467,R03095,C00008
8468,R03095,C00009
8469,R03095,C04211
8470,R03095,C00002
8471,R03095,C00954
8472,R03095,C00047
8473,R03150,C00008
8474,R03150,C03875
8475,R03150,C00002
8476,R03150,C01003
8477,R03157,C01013
8478,R03157,C00010
8479,R03157,C00002
8480,R03157,C05668
8481,R03157,C00009
8482,R03157,C00008
8483,R03161,C00008
8484,R03161,C02985
8485,R03161,C00002
8486,R03161,C01019
8487,R03182,C00008
8488,R03182,C00009
8489,R03182,C01909
8490,R03182,C00002
8491,R03182,C01037
8492,R03182,C00011
8493,R03187,C00008
8494,R03187,C00009
8495,R03187,C01043
8496,R03187,C00002
8497,R03187,C02565
8498,R03187,C00001
8499,R03193,C00008
8500,R03193,C00009
8501,R03193,C01212
8502,R03193,C00002
8503,R03193,C01050
8504,R03193,C00041
8505,R03236,C03785
8506,R03236,C00008
8507,R03236,C01097
8508,R03236,C00002
8509,R03241,C00008
8510,R03241,C01099
8511,R03241,C00002
8512,R03241,C01721
8513,R03245,C00008
8514,R03245,C01143
8515,R03245,C00002
8516,R03245,C01107
8517,R03272,C00008
8518,R03272,C01247
8519,R03272,C00002
8520,R03272,C01139
8521,R03274,C00008
8522,R03274,C04141
8523,R03274,C00002
8524,R03274,C01141
8525,R03286,C00008
8526,R03286,C00009
8527,R03286,C01262
8528,R03286,C00002
8529,R03286,C01152
8530,R03286,C00099
8531,R03298,C06189
8532,R03298,C00008
8533,R03298,C00009
8534,R03298,C01159
8535,R03298,C00002
8536,R03315,C00008
8537,R03315,C01168
8538,R03315,C00002
8539,R03315,C02067
8540,R03347,C05841
8541,R03347,C00002
8542,R03347,C01185
8543,R03347,C00008
8544,R03361,C00008
8545,R03361,C01277
8546,R03361,C00002
8547,R03361,C01194
8548,R03362,C00008
8549,R03362,C04549
8550,R03362,C00002
8551,R03362,C01194
8552,R03383,C01213
8553,R03383,C00020
8554,R03383,C00013
8555,R03383,C02170
8556,R03383,C00010
8557,R03383,C00002
8558,R03384,C00008
8559,R03384,C01283
8560,R03384,C00002
8561,R03384,C01214
8562,R03387,C00008
8563,R03387,C01286
8564,R03387,C00002
8565,R03387,C01216
8566,R03395,C00008
8567,R03395,C01280
8568,R03395,C00002
8569,R03395,C01221
8570,R03428,C00008
8571,R03428,C01272
8572,R03428,C00002
8573,R03428,C01243
8574,R03429,C00008
8575,R03429,C04477
8576,R03429,C00002
8577,R03429,C01243
8578,R03433,C00008
8579,R03433,C01272
8580,R03433,C00002
8581,R03433,C01245
8582,R03449,C00008
8583,R03449,C01293
8584,R03449,C00002
8585,R03449,C01256
8586,R03469,C00008
8587,R03469,C04637
8588,R03469,C00002
8589,R03469,C01277
8590,R03471,C00008
8591,R03471,C04556
8592,R03471,C00002
8593,R03471,C01279
8594,R03473,C00013
8595,R03473,C01299
8596,R03473,C00002
8597,R03473,C01281
8598,R03478,C00008
8599,R03478,C01284
8600,R03478,C00002
8601,R03478,C04477
8602,R03479,C00008
8603,R03479,C01284
8604,R03479,C00002
8605,R03479,C04520
8606,R03494,C00008
8607,R03494,C00009
8608,R03494,C01291
8609,R03494,C00002
8610,R03494,C01920
8611,R03494,C00288
8612,R03516,C00008
8613,R03516,C01308
8614,R03516,C00002
8615,R03516,C04726
8616,R03530,C00008
8617,R03530,C01345
8618,R03530,C00002
8619,R03530,C01344
8620,R03576,C00008
8621,R03576,C02962
8622,R03576,C00002
8623,R03576,C01487
8624,R03607,C00008
8625,R03607,C02574
8626,R03607,C00002
8627,R03607,C01540
8628,R03632,C00008
8629,R03632,C02729
8630,R03632,C00002
8631,R03632,C01609
8632,R03647,C00020
8633,R03647,C00013
8634,R03647,C06113
8635,R03647,C00002
8636,R03647,C00049
8637,R03647,C01637
8638,R03648,C00020
8639,R03648,C00013
8640,R03648,C03402
8641,R03648,C00002
8642,R03648,C00152
8643,R03648,C01637
8644,R03654,C00020
8645,R03654,C00013
8646,R03654,C02412
8647,R03654,C00002
8648,R03654,C00037
8649,R03654,C01642
8650,R03655,C00020
8651,R03655,C00013
8652,R03655,C02988
8653,R03655,C00002
8654,R03655,C00135
8655,R03655,C01643
8656,R03657,C00020
8657,R03657,C00013
8658,R03657,C02047
8659,R03657,C00002
8660,R03657,C00123
8661,R03657,C01645
8662,R03660,C00020
8663,R03660,C00013
8664,R03660,C03511
8665,R03660,C00002
8666,R03660,C00079
8667,R03660,C01648
8668,R03661,C00020
8669,R03661,C00013
8670,R03661,C02702
8671,R03661,C00002
8672,R03661,C00148
8673,R03661,C01649
8674,R03691,C00008
8675,R03691,C02855
8676,R03691,C00002
8677,R03691,C01726
8678,R03744,C00008
8679,R03744,C03157
8680,R03744,C00002
8681,R03744,C01867
8682,R03754,C00008
8683,R03754,C03849
8684,R03754,C00002
8685,R03754,C15590
8686,R03766,C00008
8687,R03766,C03606
8688,R03766,C00002
8689,R03766,C01906
8690,R03770,C00008
8691,R03770,C03368
8692,R03770,C00002
8693,R03770,C01925
8694,R03780,C00008
8695,R03780,C03796
8696,R03780,C00002
8697,R03780,C01946
8698,R03785,C00008
8699,R03785,C03149
8700,R03785,C00002
8701,R03785,C01959
8702,R03819,C00008
8703,R03819,C06222
8704,R03819,C00002
8705,R03819,C02076
8706,R03840,C00008
8707,R03840,C02128
8708,R03840,C00002
8709,R03840,C02374
8710,R03877,C00008
8711,R03877,C00009
8712,R03877,C03516
8713,R03877,C00080
8714,R03877,C00002
8715,R03877,C02191
8716,R03877,C00305
8717,R03877,C00001
8718,R03920,C00008
8719,R03920,C05345
8720,R03920,C00002
8721,R03920,C02336
8722,R03939,C00008
8723,R03939,C03624
8724,R03939,C00002
8725,R03939,C02419
8726,R03944,C00008
8727,R03944,C03715
8728,R03944,C00002
8729,R03944,C02446
8730,R04002,C00008
8731,R04002,C03754
8732,R04002,C00002
8733,R04002,C02632
8734,R04023,C00008
8735,R04023,C03874
8736,R04023,C00002
8737,R04023,C02707
8738,R04068,C00008
8739,R04068,C00009
8740,R04068,C04437
8741,R04068,C00013
8742,R04068,C00002
8743,R04068,C02835
8744,R04068,C00119
8745,R04068,C00001
8746,R04126,C00008
8747,R04126,C03968
8748,R04126,C00002
8749,R04126,C02773
8750,R04138,C00008
8751,R04138,C00009
8752,R04138,C03231
8753,R04138,C00002
8754,R04138,C03069
8755,R04138,C00288
8756,R04143,C00008
8757,R04143,C04188
8758,R04143,C00002
8759,R04143,C03089
8760,R04144,C00008
8761,R04144,C00009
8762,R04144,C03838
8763,R04144,C00002
8764,R04144,C03090
8765,R04144,C00037
8766,R04208,C00008
8767,R04208,C00009
8768,R04208,C03373
8769,R04208,C00002
8770,R04208,C04640
8771,R04235,C00008
8772,R04235,C04187
8773,R04235,C00002
8774,R04235,C03495
8775,R04267,C00008
8776,R04267,C04232
8777,R04267,C00002
8778,R04267,C00676
8779,R04275,C00008
8780,R04275,C04214
8781,R04275,C00002
8782,R04275,C03643
8783,R04358,C00008
8784,R04358,C04395
8785,R04358,C00002
8786,R04358,C03959
8787,R04369,C00008
8788,R04369,C00009
8789,R04369,C04457
8790,R04369,C00002
8791,R04369,C00133
8792,R04369,C03999
8793,R04385,C00008
8794,R04385,C00009
8795,R04385,C04419
8796,R04385,C00002
8797,R04385,C06250
8798,R04385,C00288
8799,R04388,C00008
8800,R04388,C04503
8801,R04388,C00002
8802,R04388,C04071
8803,R04391,C00008
8804,R04391,C04352
8805,R04391,C00002
8806,R04391,C04079
8807,R04401,C00008
8808,R04401,C04564
8809,R04401,C00002
8810,R04401,C04125
8811,R04403,C00008
8812,R04403,C04565
8813,R04403,C00002
8814,R04403,C04128
8815,R04448,C00008
8816,R04448,C04327
8817,R04448,C00002
8818,R04448,C04294
8819,R04504,C05981
8820,R04504,C00008
8821,R04504,C04549
8822,R04504,C00002
8823,R04509,C00008
8824,R04509,C04752
8825,R04509,C00002
8826,R04509,C04556
8827,R04545,C00008
8828,R04545,C05981
8829,R04545,C00002
8830,R04545,C04637
8831,R04555,C00008
8832,R04555,C04768
8833,R04555,C00002
8834,R04555,C04632
8835,R04573,C00008
8836,R04573,C00009
8837,R04573,C04702
8838,R04573,C00002
8839,R04573,C05892
8840,R04573,C00993
8841,R04589,C00008
8842,R04589,C04749
8843,R04589,C00002
8844,R04589,C04816
8845,R04591,C00008
8846,R04591,C00009
8847,R04591,C04823
8848,R04591,C00002
8849,R04591,C04751
8850,R04591,C00049
8851,R04617,C00008
8852,R04617,C00009
8853,R04617,C04882
8854,R04617,C00002
8855,R04617,C04877
8856,R04617,C00993
8857,R04657,C00008
8858,R04657,C04919
8859,R04657,C00002
8860,R04657,C04932
8861,R04730,C01392
8862,R04730,C00008
8863,R04730,C00009
8864,R04730,C00002
8865,R04730,C05234
8866,R04730,C00082
8867,R04771,C00009
8868,R04771,C00013
8869,R04771,C05691
8870,R04771,C00002
8871,R04771,C05335
8872,R04771,C00001
8873,R04779,C00008
8874,R04779,C05378
8875,R04779,C00002
8876,R04779,C05345
8877,R04928,C00008
8878,R04928,C05696
8879,R04928,C00002
8880,R04928,C05686
8881,R04929,C00013
8882,R04929,C05686
8883,R04929,C00002
8884,R04929,C05697
8885,R05030,C00008
8886,R05030,C00009
8887,R05030,C05894
8888,R05030,C00002
8889,R05030,C05893
8890,R05030,C00014
8891,R05185,C00009
8892,R05185,C00008
8893,R05185,C00139
8894,R05185,C00014
8895,R05185,C00282
8896,R05185,C00002
8897,R05185,C00697
8898,R05185,C00138
8899,R05185,C00080
8900,R05185,C00001
8901,R05186,C00009
8902,R05186,C00008
8903,R05186,C02869
8904,R05186,C00014
8905,R05186,C00282
8906,R05186,C00002
8907,R05186,C00697
8908,R05186,C02745
8909,R05186,C00001
8910,R05193,C00020
8911,R05193,C00013
8912,R05193,C03330
8913,R05193,C00002
8914,R05193,C00391
8915,R05193,C00496
8916,R05202,C01284
8917,R05202,C00002
8918,R05202,C01204
8919,R05202,C00008
8920,R05220,C06506
8921,R05220,C00536
8922,R05220,C06505
8923,R05220,C00002
8924,R05221,C06509
8925,R05221,C00008
8926,R05221,C06508
8927,R05221,C00002
8928,R05227,C06504
8929,R05227,C00009
8930,R05227,C00008
8931,R05227,C00080
8932,R05227,C06503
8933,R05227,C00175
8934,R05227,C00002
8935,R05227,C00001
8936,R05453,C00008
8937,R05453,C00009
8938,R05453,C07114
8939,R05453,C00002
8940,R05453,C07113
8941,R05453,C00288
8942,R05453,C00001
8943,R05453,C00080
8944,R05467,C06656
8945,R05467,C00020
8946,R05467,C00013
8947,R05467,C06655
8948,R05467,C00002
8949,R05496,C06547
8950,R05496,C00139
8951,R05496,C00008
8952,R05496,C00009
8953,R05496,C01548
8954,R05496,C00138
8955,R05496,C00080
8956,R05496,C00002
8957,R05496,C00001
8958,R05620,C09823
8959,R05620,C00020
8960,R05620,C00013
8961,R05620,C09822
8962,R05620,C00010
8963,R05620,C00002
8964,R05626,C00008
8965,R05626,C17556
8966,R05626,C00002
8967,R05626,C17558
8968,R05634,C11436
8969,R05634,C00008
8970,R05634,C11435
8971,R05634,C00002
8972,R05644,C00013
8973,R05644,C06397
8974,R05644,C00002
8975,R05644,C07838
8976,R05646,C00008
8977,R05646,C11472
8978,R05646,C00002
8979,R05646,C07836
8980,R05661,C06893
8981,R05661,C00008
8982,R05661,C06892
8983,R05661,C00002
8984,R05668,C07024
8985,R05668,C00004
8986,R05668,C00080
8987,R05668,C00002
8988,R05668,C00003
8989,R05744,C00406
8990,R05744,C07305
8991,R05744,C01494
8992,R05744,C00010
8993,R05744,C00002
8994,R05795,C00008
8995,R05795,C11554
8996,R05795,C00002
8997,R05795,C01277
8998,R05799,C00008
8999,R05799,C11174
9000,R05799,C00002
9001,R05799,C01204
9002,R05800,C00008
9003,R05800,C11555
9004,R05800,C00002
9005,R05800,C01245
9006,R05801,C00008
9007,R05801,C01284
9008,R05801,C00002
9009,R05801,C11555
9010,R05802,C00008
9011,R05802,C11556
9012,R05802,C00002
9013,R05802,C04549
9014,R05803,C00008
9015,R05803,C04637
9016,R05803,C00002
9017,R05803,C11557
9018,R05806,C00008
9019,R05806,C00676
9020,R05806,C00002
9021,R05806,C02269
9022,R06176,G11113
9023,R06176,G10518
9024,R06176,C00002
9025,R06176,G00289
9026,R06282,C02880
9027,R06282,C00138
9028,R06282,C00002
9029,R06282,C00001
9030,R06282,C02139
9031,R06282,C00139
9032,R06282,C00008
9033,R06282,C00009
9034,R06367,C11929
9035,R06367,C00001
9036,R06367,C00008
9037,R06367,C00009
9038,R06367,C11924
9039,R06367,C00010
9040,R06367,C00002
9041,R06396,C11407
9042,R06396,C00001
9043,R06396,C00008
9044,R06396,C00009
9045,R06396,C11405
9046,R06396,C00010
9047,R06396,C00002
9048,R06409,C11946
9049,R06409,C00020
9050,R06409,C00013
9051,R06409,C11944
9052,R06409,C00002
9053,R06409,C00010
9054,R06410,C11945
9055,R06410,C00020
9056,R06410,C00013
9057,R06410,C11943
9058,R06410,C00002
9059,R06410,C00010
9060,R06515,C11407
9061,R06515,C00001
9062,R06515,C00020
9063,R06515,C00013
9064,R06515,C11405
9065,R06515,C00010
9066,R06515,C00002
9067,R06529,C06509
9068,R06529,C00008
9069,R06529,C00009
9070,R06529,C06507
9071,R06529,C04122
9072,R06529,C00002
9073,R06588,C00008
9074,R06588,C12213
9075,R06588,C00002
9076,R06588,C12212
9077,R06731,C12450
9078,R06731,C00020
9079,R06731,C12449
9080,R06731,C00002
9081,R06731,C00010
9082,R06836,C00119
9083,R06836,C00008
9084,R06836,C01151
9085,R06836,C00002
9086,R06974,C00008
9087,R06974,C00009
9088,R06974,C04376
9089,R06974,C00058
9090,R06974,C00002
9091,R06974,C03838
9092,R06975,C00008
9093,R06975,C00009
9094,R06975,C04734
9095,R06975,C00058
9096,R06975,C00002
9097,R06975,C04677
9098,R06976,C00008
9099,R06976,C14178
9100,R06976,C00002
9101,R06976,C14177
9102,R07127,C14899
9103,R07127,C00008
9104,R07127,C00618
9105,R07127,C00002
9106,R07268,C00536
9107,R07268,C06508
9108,R07268,C00002
9109,R07268,C05774
9110,R07279,C00008
9111,R07279,C04006
9112,R07279,C00002
9113,R07279,C00137
9114,R07302,C00008
9115,R07302,C00009
9116,R07302,C06508
9117,R07302,C00002
9118,R07302,C06507
9119,R07302,C03194
9120,R07404,C00008
9121,R07404,C00009
9122,R07404,C15667
9123,R07404,C00002
9124,R07404,C03373
9125,R07404,C00288
9126,R07459,C15813
9127,R07459,C00013
9128,R07459,C15810
9129,R07459,C00002
9130,R07641,C00008
9131,R07641,C00009
9132,R07641,C00169
9133,R07641,C00002
9134,R07641,C00288
9135,R07641,C00014
9136,R07642,C00008
9137,R07642,C00009
9138,R07642,C16116
9139,R07642,C00002
9140,R07642,C00151
9141,R07642,C00151
9142,R07644,C05821
9143,R07644,C00020
9144,R07644,C00013
9145,R07644,C00002
9146,R07644,C00196
9147,R07644,C00065
9148,R07646,C00020
9149,R07646,C00013
9150,R07646,C16140
9151,R07646,C00002
9152,R07646,C00047
9153,R07646,C16139
9154,R07770,C00013
9155,R07770,C16238
9156,R07770,C00002
9157,R07770,C16241
9158,R07828,C16268
9159,R07828,C00008
9160,R07828,C00009
9161,R07828,C16267
9162,R07828,C00010
9163,R07828,C00002
9164,R07887,C00020
9165,R07887,C00013
9166,R07887,C16327
9167,R07887,C00002
9168,R07887,C04780
9169,R07887,C00010
9170,R08051,C16424
9171,R08051,C00013
9172,R08051,C00235
9173,R08051,C00002
9174,R08117,C02802
9175,R08117,C00020
9176,R08117,C00013
9177,R08117,C02371
9178,R08117,C00010
9179,R08117,C00002
9180,R08124,C16489
9181,R08124,C00008
9182,R08124,C16488
9183,R08124,C00002
9184,R08154,C16507
9185,R08154,C00008
9186,R08154,C16505
9187,R08154,C00002
9188,R08201,C00008
9189,R08201,C00009
9190,R08201,C05379
9191,R08201,C00002
9192,R08201,C00026
9193,R08201,C00288
9194,R08217,C04628
9195,R08217,C00008
9196,R08217,C16594
9197,R08217,C00002
9198,R08223,C16638
9199,R08223,C00008
9200,R08223,C06481
9201,R08223,C00002
9202,R08232,C16634
9203,R08232,C00008
9204,R08232,C16633
9205,R08232,C00002
9206,R08233,C04242
9207,R08233,C00008
9208,R08233,C11736
9209,R08233,C00002
9210,R08241,C16616
9211,R08241,C00008
9212,R08241,C04646
9213,R08241,C00002
9214,R08242,C16617
9215,R08242,C00008
9216,R08242,C16616
9217,R08242,C00002
9218,R08480,C00008
9219,R08480,C07576
9220,R08480,C00002
9221,R08480,C08312
9222,R08576,C17022
9223,R08576,C00013
9224,R08576,C00020
9225,R08576,C01005
9226,R08576,C01639
9227,R08576,C00002
9228,R08700,C17322
9229,R08700,C15811
9230,R08700,C00020
9231,R08700,C00013
9232,R08700,C00868
9233,R08700,C15812
9234,R08700,C00002
9235,R08733,C15613
9236,R08733,C00020
9237,R08733,C00013
9238,R08733,C04722
9239,R08733,C00002
9240,R08733,C00010
9241,R08738,C17345
9242,R08738,C00020
9243,R08738,C00013
9244,R08738,C04554
9245,R08738,C00002
9246,R08738,C00010
9247,R08743,C02528
9248,R08743,C00010
9249,R08743,C00002
9250,R08743,C05337
9251,R08743,C00020
9252,R08743,C00013
9253,R08844,C00008
9254,R08844,C11351
9255,R08844,C00002
9256,R08844,C01298
9257,R08872,C17950
9258,R08872,C00020
9259,R08872,C00013
9260,R08872,C17949
9261,R08872,C00041
9262,R08872,C00002
9263,R08872,C00001
9264,R08924,C00008
9265,R08924,C00009
9266,R08924,C18026
9267,R08924,C00002
9268,R08924,C00288
9269,R08924,C00136
9270,R08924,C00080
9271,R08962,C00008
9272,R08962,C18055
9273,R08962,C00002
9274,R08962,C03136
9275,R08964,C00008
9276,R08964,C20690
9277,R08964,C00002
9278,R08964,C11526
9279,R08967,C18060
9280,R08967,C00008
9281,R08967,C01132
9282,R08967,C00002
9283,R08968,C04501
9284,R08968,C00008
9285,R08968,C00140
9286,R08968,C00002
9287,R09047,C00013
9288,R09047,C18136
9289,R09047,C00002
